0.3,,,,,,
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
COMMENT:en-US,,MCC_H121_RL4021_FP_UDT,+MCC=H121-RL4021,,MCC_H121_RL4021_FP_UDT.TagName,
TAG,,MCC_H121_RL4021_FP_UDT,UDT_IO_FP : Hammer Mill - Lid Switch Open,UDT_IO_FP,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,MCC_H121_RL4021_FP_UDT,,,MCC_H121_RL4021_FP_UDT.EU,
COMMENT:en-US,,MCC_H121_RL4021_FP_UDT,1,,MCC_H121_RL4021_FP_UDT.PLC,
COMMENT:en-US,,MCC_H121_RL4021_FP_UDT,Hammer Mill - Lid Switch Open,,MCC_H121_RL4021_FP_UDT.TagComment,
COMMENT:en-US,,MCC_H121_RL4021_FP_UDT,MCC_IO:2:I.0,,MCC_H121_RL4021_FP_UDT.TagAddress,
COMMENT:en-US,,MCC_H121_RL4021_FP_UDT,+MCC=H121-RL4021,,MCC_H121_RL4021_FP_UDT.TagName,
TAG,,MCC_ES01_SF6103_FP_UDT,UDT_IO_FP : Emergency Stop  - Hammer Mill,UDT_IO_FP,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,MCC_ES01_SF6103_FP_UDT,,,MCC_ES01_SF6103_FP_UDT.EU,
COMMENT:en-US,,MCC_ES01_SF6103_FP_UDT,1,,MCC_ES01_SF6103_FP_UDT.PLC,
COMMENT:en-US,,MCC_ES01_SF6103_FP_UDT,Emergency Stop  - Hammer Mill,,MCC_ES01_SF6103_FP_UDT.TagComment,
COMMENT:en-US,,MCC_ES01_SF6103_FP_UDT,MCC_IO:7:I.Pt04Data,,MCC_ES01_SF6103_FP_UDT.TagAddress,
COMMENT:en-US,,MCC_ES01_SF6103_FP_UDT,+MCC=ES01-SF6103,,MCC_ES01_SF6103_FP_UDT.TagName,
TAG,,MCC_AQ01_BF9001_FP_UDT,UDT_IO_FP : Main air - Pressure Feedback,UDT_IO_FP,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,MCC_AQ01_BF9001_FP_UDT,,,MCC_AQ01_BF9001_FP_UDT.EU,
COMMENT:en-US,,MCC_AQ01_BF9001_FP_UDT,1,,MCC_AQ01_BF9001_FP_UDT.PLC,
COMMENT:en-US,,MCC_AQ01_BF9001_FP_UDT,Main air - Pressure Feedback,,MCC_AQ01_BF9001_FP_UDT.TagComment,
COMMENT:en-US,,MCC_AQ01_BF9001_FP_UDT,MCC_IO:2:I.5,,MCC_AQ01_BF9001_FP_UDT.TagAddress,
COMMENT:en-US,,MCC_AQ01_BF9001_FP_UDT,+MCC=AQ01-BF9001,,MCC_AQ01_BF9001_FP_UDT.TagName,
TAG,,MCC_F311_MA3111_FP_UDT,UDT_IO_FP : Former Wire Run - Motor,UDT_IO_FP,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,MCC_F311_MA3111_FP_UDT,m/min,,MCC_F311_MA3111_FP_UDT.EU,
COMMENT:en-US,,MCC_F311_MA3111_FP_UDT,1,,MCC_F311_MA3111_FP_UDT.PLC,
COMMENT:en-US,,MCC_F311_MA3111_FP_UDT,Former Wire Run - Motor,,MCC_F311_MA3111_FP_UDT.TagComment,
COMMENT:en-US,,MCC_F311_MA3111_FP_UDT,,,MCC_F311_MA3111_FP_UDT.TagAddress,
COMMENT:en-US,,MCC_F311_MA3111_FP_UDT,+MCC=F311-MA3111,,MCC_F311_MA3111_FP_UDT.TagName,
TAG,,MCC_ES01_SF6101_FP_UDT,UDT_IO_FP : Emergency Stop  - Wire Operator Side,UDT_IO_FP,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,MCC_ES01_SF6101_FP_UDT,,,MCC_ES01_SF6101_FP_UDT.EU,
COMMENT:en-US,,MCC_ES01_SF6101_FP_UDT,1,,MCC_ES01_SF6101_FP_UDT.PLC,
COMMENT:en-US,,MCC_ES01_SF6101_FP_UDT,Emergency Stop  - Wire Operator Side,,MCC_ES01_SF6101_FP_UDT.TagComment,
COMMENT:en-US,,MCC_ES01_SF6101_FP_UDT,MCC_IO:7:I.Pt06Data,,MCC_ES01_SF6101_FP_UDT.TagAddress,
COMMENT:en-US,,MCC_ES01_SF6101_FP_UDT,+MCC=ES01-SF6101,,MCC_ES01_SF6101_FP_UDT.TagName,
TAG,,MCC_ES01_SF6102_FP_UDT,UDT_IO_FP : Emergency Stop  - Wire Drive Side,UDT_IO_FP,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,MCC_ES01_SF6102_FP_UDT,,,MCC_ES01_SF6102_FP_UDT.EU,
COMMENT:en-US,,MCC_ES01_SF6102_FP_UDT,1,,MCC_ES01_SF6102_FP_UDT.PLC,
COMMENT:en-US,,MCC_ES01_SF6102_FP_UDT,Emergency Stop  - Wire Drive Side,,MCC_ES01_SF6102_FP_UDT.TagComment,
COMMENT:en-US,,MCC_ES01_SF6102_FP_UDT,MCC_IO:8:I.Pt00Data,,MCC_ES01_SF6102_FP_UDT.TagAddress,
COMMENT:en-US,,MCC_ES01_SF6102_FP_UDT,+MCC=ES01-SF6102,,MCC_ES01_SF6102_FP_UDT.TagName,
TAG,,MCC_AC01_FC2010_FP_UDT,UDT_IO_FP : 230VAC Power Supply - Circuit Breaker,UDT_IO_FP,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,MCC_AC01_FC2010_FP_UDT,,,MCC_AC01_FC2010_FP_UDT.EU,
COMMENT:en-US,,MCC_AC01_FC2010_FP_UDT,1,,MCC_AC01_FC2010_FP_UDT.PLC,
COMMENT:en-US,,MCC_AC01_FC2010_FP_UDT,230VAC Power Supply - Circuit Breaker,,MCC_AC01_FC2010_FP_UDT.TagComment,
COMMENT:en-US,,MCC_AC01_FC2010_FP_UDT,MCC_IO:2:I.6,,MCC_AC01_FC2010_FP_UDT.TagAddress,
COMMENT:en-US,,MCC_AC01_FC2010_FP_UDT,+MCC=AC01-FC2010,,MCC_AC01_FC2010_FP_UDT.TagName,
TAG,,MCC_DC01_FC1010_FP_UDT,UDT_IO_FP : 24VDC Power Supply - Power Feed Module,UDT_IO_FP,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,MCC_DC01_FC1010_FP_UDT,,,MCC_DC01_FC1010_FP_UDT.EU,
COMMENT:en-US,,MCC_DC01_FC1010_FP_UDT,1,,MCC_DC01_FC1010_FP_UDT.PLC,
COMMENT:en-US,,MCC_DC01_FC1010_FP_UDT,24VDC Power Supply - Power Feed Module,,MCC_DC01_FC1010_FP_UDT.TagComment,
COMMENT:en-US,,MCC_DC01_FC1010_FP_UDT,MCC_IO:3:I.3,,MCC_DC01_FC1010_FP_UDT.TagAddress,
COMMENT:en-US,,MCC_DC01_FC1010_FP_UDT,+MCC=DC01-FC1010,,MCC_DC01_FC1010_FP_UDT.TagName,
TAG,,MCC_DC02_FC1002_FP_UDT,UDT_IO_FP : 24VDC Power Supply Servodrive - Circuit Breaker,UDT_IO_FP,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,MCC_DC02_FC1002_FP_UDT,,,MCC_DC02_FC1002_FP_UDT.EU,
COMMENT:en-US,,MCC_DC02_FC1002_FP_UDT,1,,MCC_DC02_FC1002_FP_UDT.PLC,
COMMENT:en-US,,MCC_DC02_FC1002_FP_UDT,24VDC Power Supply Servodrive - Circuit Breaker,,MCC_DC02_FC1002_FP_UDT.TagComment,
COMMENT:en-US,,MCC_DC02_FC1002_FP_UDT,MCC_IO:3:I.4,,MCC_DC02_FC1002_FP_UDT.TagAddress,
COMMENT:en-US,,MCC_DC02_FC1002_FP_UDT,+MCC=DC02-FC1002,,MCC_DC02_FC1002_FP_UDT.TagName,
TAG,,MCC_DC02_1LDC_FP_UDT,UDT_IO_FP : Power Supply 24VDC Servodrive - Circuit Breaker,UDT_IO_FP,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,MCC_DC02_1LDC_FP_UDT,,,MCC_DC02_1LDC_FP_UDT.EU,
COMMENT:en-US,,MCC_DC02_1LDC_FP_UDT,1,,MCC_DC02_1LDC_FP_UDT.PLC,
COMMENT:en-US,,MCC_DC02_1LDC_FP_UDT,Power Supply 24VDC Servodrive - Circuit Breaker,,MCC_DC02_1LDC_FP_UDT.TagComment,
COMMENT:en-US,,MCC_DC02_1LDC_FP_UDT,MCC_IO:3:I.5,,MCC_DC02_1LDC_FP_UDT.TagAddress,
COMMENT:en-US,,MCC_DC02_1LDC_FP_UDT,+MCC=DC02-1LDC,,MCC_DC02_1LDC_FP_UDT.TagName,
TAG,,MCC_DC02_2LDC_FP_UDT,"UDT_IO_FP : Power Supply 24VDC Servodrive - Circuit Breaker, Spare",UDT_IO_FP,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,MCC_DC02_2LDC_FP_UDT,,,MCC_DC02_2LDC_FP_UDT.EU,
COMMENT:en-US,,MCC_DC02_2LDC_FP_UDT,1,,MCC_DC02_2LDC_FP_UDT.PLC,
COMMENT:en-US,,MCC_DC02_2LDC_FP_UDT,"Power Supply 24VDC Servodrive - Circuit Breaker, Spare",,MCC_DC02_2LDC_FP_UDT.TagComment,
COMMENT:en-US,,MCC_DC02_2LDC_FP_UDT,MCC_IO:3:I.6,,MCC_DC02_2LDC_FP_UDT.TagAddress,
COMMENT:en-US,,MCC_DC02_2LDC_FP_UDT,+MCC=DC02-2LDC,,MCC_DC02_2LDC_FP_UDT.TagName,
TAG,,MCC_C311_MA3121_FP_UDT,UDT_IO_FP : Compactor - Motor,UDT_IO_FP,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,MCC_C311_MA3121_FP_UDT,m/min,,MCC_C311_MA3121_FP_UDT.EU,
COMMENT:en-US,,MCC_C311_MA3121_FP_UDT,1,,MCC_C311_MA3121_FP_UDT.PLC,
COMMENT:en-US,,MCC_C311_MA3121_FP_UDT,Compactor - Motor,,MCC_C311_MA3121_FP_UDT.TagComment,
COMMENT:en-US,,MCC_C311_MA3121_FP_UDT,,,MCC_C311_MA3121_FP_UDT.TagAddress,
COMMENT:en-US,,MCC_C311_MA3121_FP_UDT,+MCC=C311-MA3121,,MCC_C311_MA3121_FP_UDT.TagName,
TAG,,MCC_IO_KF1000_FP_UDT,UDT_IO_FP : Point IO - EtherNet/IP Adapter,UDT_IO_FP,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,MCC_IO_KF1000_FP_UDT,,,MCC_IO_KF1000_FP_UDT.EU,
COMMENT:en-US,,MCC_IO_KF1000_FP_UDT,1,,MCC_IO_KF1000_FP_UDT.PLC,
COMMENT:en-US,,MCC_IO_KF1000_FP_UDT,Point IO - EtherNet/IP Adapter,,MCC_IO_KF1000_FP_UDT.TagComment,
COMMENT:en-US,,MCC_IO_KF1000_FP_UDT,,,MCC_IO_KF1000_FP_UDT.TagAddress,
COMMENT:en-US,,MCC_IO_KF1000_FP_UDT,+MCC=IO-KF1000,,MCC_IO_KF1000_FP_UDT.TagName,
TAG,,MCC_IO_KF3007_FP_UDT,UDT_IO_FP : Safety Input  - SDI,UDT_IO_FP,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,MCC_IO_KF3007_FP_UDT,,,MCC_IO_KF3007_FP_UDT.EU,
COMMENT:en-US,,MCC_IO_KF3007_FP_UDT,1,,MCC_IO_KF3007_FP_UDT.PLC,
COMMENT:en-US,,MCC_IO_KF3007_FP_UDT,Safety Input  - SDI,,MCC_IO_KF3007_FP_UDT.TagComment,
COMMENT:en-US,,MCC_IO_KF3007_FP_UDT,,,MCC_IO_KF3007_FP_UDT.TagAddress,
COMMENT:en-US,,MCC_IO_KF3007_FP_UDT,+MCC=IO-KF3007,,MCC_IO_KF3007_FP_UDT.TagName,
TAG,,MCC_IO_KF3008_FP_UDT,UDT_IO_FP : Safety Input  - SDI,UDT_IO_FP,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,MCC_IO_KF3008_FP_UDT,,,MCC_IO_KF3008_FP_UDT.EU,
COMMENT:en-US,,MCC_IO_KF3008_FP_UDT,1,,MCC_IO_KF3008_FP_UDT.PLC,
COMMENT:en-US,,MCC_IO_KF3008_FP_UDT,Safety Input  - SDI,,MCC_IO_KF3008_FP_UDT.TagComment,
COMMENT:en-US,,MCC_IO_KF3008_FP_UDT,,,MCC_IO_KF3008_FP_UDT.TagAddress,
COMMENT:en-US,,MCC_IO_KF3008_FP_UDT,+MCC=IO-KF3008,,MCC_IO_KF3008_FP_UDT.TagName,
TAG,,MCC_IO_KF3009_FP_UDT,UDT_IO_FP : Safety Output - SDO,UDT_IO_FP,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,MCC_IO_KF3009_FP_UDT,,,MCC_IO_KF3009_FP_UDT.EU,
COMMENT:en-US,,MCC_IO_KF3009_FP_UDT,1,,MCC_IO_KF3009_FP_UDT.PLC,
COMMENT:en-US,,MCC_IO_KF3009_FP_UDT,Safety Output - SDO,,MCC_IO_KF3009_FP_UDT.TagComment,
COMMENT:en-US,,MCC_IO_KF3009_FP_UDT,,,MCC_IO_KF3009_FP_UDT.TagAddress,
COMMENT:en-US,,MCC_IO_KF3009_FP_UDT,+MCC=IO-KF3009,,MCC_IO_KF3009_FP_UDT.TagName,
TAG,,Mes_P00_ID001_FP_UDT,UDT_IO_FP : Motion Group Not Synchronized - Alarm,UDT_IO_FP,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,Mes_P00_ID001_FP_UDT,,,Mes_P00_ID001_FP_UDT.EU,
COMMENT:en-US,,Mes_P00_ID001_FP_UDT,1,,Mes_P00_ID001_FP_UDT.PLC,
COMMENT:en-US,,Mes_P00_ID001_FP_UDT,Motion Group Not Synchronized - Alarm,,Mes_P00_ID001_FP_UDT.TagComment,
COMMENT:en-US,,Mes_P00_ID001_FP_UDT,,,Mes_P00_ID001_FP_UDT.TagAddress,
COMMENT:en-US,,Mes_P00_ID001_FP_UDT,+Mes=P00-ID001,,Mes_P00_ID001_FP_UDT.TagName,
TAG,,Mes_P00_ID002_FP_UDT,UDT_IO_FP : PLC - Power Cycle Detected - Info,UDT_IO_FP,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,Mes_P00_ID002_FP_UDT,,,Mes_P00_ID002_FP_UDT.EU,
COMMENT:en-US,,Mes_P00_ID002_FP_UDT,1,,Mes_P00_ID002_FP_UDT.PLC,
COMMENT:en-US,,Mes_P00_ID002_FP_UDT,PLC - Power Cycle Detected - Info,,Mes_P00_ID002_FP_UDT.TagComment,
COMMENT:en-US,,Mes_P00_ID002_FP_UDT,,,Mes_P00_ID002_FP_UDT.TagAddress,
COMMENT:en-US,,Mes_P00_ID002_FP_UDT,+Mes=P00-ID002,,Mes_P00_ID002_FP_UDT.TagName,
TAG,,Mes_P00_ID003_FP_UDT,UDT_IO_FP : Acknowledge Pressed - Info,UDT_IO_FP,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,Mes_P00_ID003_FP_UDT,,,Mes_P00_ID003_FP_UDT.EU,
COMMENT:en-US,,Mes_P00_ID003_FP_UDT,1,,Mes_P00_ID003_FP_UDT.PLC,
COMMENT:en-US,,Mes_P00_ID003_FP_UDT,Acknowledge Pressed - Info,,Mes_P00_ID003_FP_UDT.TagComment,
COMMENT:en-US,,Mes_P00_ID003_FP_UDT,,,Mes_P00_ID003_FP_UDT.TagAddress,
COMMENT:en-US,,Mes_P00_ID003_FP_UDT,+Mes=P00-ID003,,Mes_P00_ID003_FP_UDT.TagName,
TAG,,Mes_P00_ID005_FP_UDT,UDT_IO_FP : Safety Fault - Collection of All Safety Zones,UDT_IO_FP,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,Mes_P00_ID005_FP_UDT,,,Mes_P00_ID005_FP_UDT.EU,
COMMENT:en-US,,Mes_P00_ID005_FP_UDT,1,,Mes_P00_ID005_FP_UDT.PLC,
COMMENT:en-US,,Mes_P00_ID005_FP_UDT,Safety Fault - Collection of All Safety Zones,,Mes_P00_ID005_FP_UDT.TagComment,
COMMENT:en-US,,Mes_P00_ID005_FP_UDT,,,Mes_P00_ID005_FP_UDT.TagAddress,
COMMENT:en-US,,Mes_P00_ID005_FP_UDT,+Mes=P00-ID005,,Mes_P00_ID005_FP_UDT.TagName,
TAG,,Mes_P02_ID0201_FP_UDT,UDT_IO_FP : Stopped by Fault - Re-Start is Required,UDT_IO_FP,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,Mes_P02_ID0201_FP_UDT,,,Mes_P02_ID0201_FP_UDT.EU,
COMMENT:en-US,,Mes_P02_ID0201_FP_UDT,1,,Mes_P02_ID0201_FP_UDT.PLC,
COMMENT:en-US,,Mes_P02_ID0201_FP_UDT,Stopped by Fault - Re-Start is Required,,Mes_P02_ID0201_FP_UDT.TagComment,
COMMENT:en-US,,Mes_P02_ID0201_FP_UDT,,,Mes_P02_ID0201_FP_UDT.TagAddress,
COMMENT:en-US,,Mes_P02_ID0201_FP_UDT,+Mes=P02-ID0201,,Mes_P02_ID0201_FP_UDT.TagName,
TAG,,Mes_S02_ID0210_FP_UDT,UDT_IO_FP : Stopped by Fault - Re-Start is Required,UDT_IO_FP,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,Mes_S02_ID0210_FP_UDT,,,Mes_S02_ID0210_FP_UDT.EU,
COMMENT:en-US,,Mes_S02_ID0210_FP_UDT,1,,Mes_S02_ID0210_FP_UDT.PLC,
COMMENT:en-US,,Mes_S02_ID0210_FP_UDT,Stopped by Fault - Re-Start is Required,,Mes_S02_ID0210_FP_UDT.TagComment,
COMMENT:en-US,,Mes_S02_ID0210_FP_UDT,,,Mes_S02_ID0210_FP_UDT.TagAddress,
COMMENT:en-US,,Mes_S02_ID0210_FP_UDT,+Mes=S02-ID0210,,Mes_S02_ID0210_FP_UDT.TagName,
TAG,,MCC_H111_MA3101_FP_UDT,UDT_IO_FP : Pulp Infeed - Motor,UDT_IO_FP,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,MCC_H111_MA3101_FP_UDT,m/min,,MCC_H111_MA3101_FP_UDT.EU,
COMMENT:en-US,,MCC_H111_MA3101_FP_UDT,1,,MCC_H111_MA3101_FP_UDT.PLC,
COMMENT:en-US,,MCC_H111_MA3101_FP_UDT,Pulp Infeed - Motor,,MCC_H111_MA3101_FP_UDT.TagComment,
COMMENT:en-US,,MCC_H111_MA3101_FP_UDT,,,MCC_H111_MA3101_FP_UDT.TagAddress,
COMMENT:en-US,,MCC_H111_MA3101_FP_UDT,+MCC=H111-MA3101,,MCC_H111_MA3101_FP_UDT.TagName,
TAG,,Mes_S02_ID0211_FP_UDT,UDT_IO_FP : Pulp Changed - Info,UDT_IO_FP,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,Mes_S02_ID0211_FP_UDT,,,Mes_S02_ID0211_FP_UDT.EU,
COMMENT:en-US,,Mes_S02_ID0211_FP_UDT,1,,Mes_S02_ID0211_FP_UDT.PLC,
COMMENT:en-US,,Mes_S02_ID0211_FP_UDT,Pulp Changed - Info,,Mes_S02_ID0211_FP_UDT.TagComment,
COMMENT:en-US,,Mes_S02_ID0211_FP_UDT,,,Mes_S02_ID0211_FP_UDT.TagAddress,
COMMENT:en-US,,Mes_S02_ID0211_FP_UDT,+Mes=S02-ID0211,,Mes_S02_ID0211_FP_UDT.TagName,
TAG,,Mes_S02_ID0212_FP_UDT,UDT_IO_FP : Pulp Infeed Stopped - Pulp Jam,UDT_IO_FP,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,Mes_S02_ID0212_FP_UDT,,,Mes_S02_ID0212_FP_UDT.EU,
COMMENT:en-US,,Mes_S02_ID0212_FP_UDT,1,,Mes_S02_ID0212_FP_UDT.PLC,
COMMENT:en-US,,Mes_S02_ID0212_FP_UDT,Pulp Infeed Stopped - Pulp Jam,,Mes_S02_ID0212_FP_UDT.TagComment,
COMMENT:en-US,,Mes_S02_ID0212_FP_UDT,,,Mes_S02_ID0212_FP_UDT.TagAddress,
COMMENT:en-US,,Mes_S02_ID0212_FP_UDT,+Mes=S02-ID0212,,Mes_S02_ID0212_FP_UDT.TagName,
TAG,,Mes_S02_ID0213_FP_UDT,UDT_IO_FP : Pulp Infeed Stopped - Pulp Not Ready,UDT_IO_FP,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,Mes_S02_ID0213_FP_UDT,,,Mes_S02_ID0213_FP_UDT.EU,
COMMENT:en-US,,Mes_S02_ID0213_FP_UDT,1,,Mes_S02_ID0213_FP_UDT.PLC,
COMMENT:en-US,,Mes_S02_ID0213_FP_UDT,Pulp Infeed Stopped - Pulp Not Ready,,Mes_S02_ID0213_FP_UDT.TagComment,
COMMENT:en-US,,Mes_S02_ID0213_FP_UDT,,,Mes_S02_ID0213_FP_UDT.TagAddress,
COMMENT:en-US,,Mes_S02_ID0213_FP_UDT,+Mes=S02-ID0213,,Mes_S02_ID0213_FP_UDT.TagName,
TAG,,Mes_S02_ID0214_FP_UDT,UDT_IO_FP : Stopped due to  - Low Line Speed,UDT_IO_FP,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,Mes_S02_ID0214_FP_UDT,,,Mes_S02_ID0214_FP_UDT.EU,
COMMENT:en-US,,Mes_S02_ID0214_FP_UDT,1,,Mes_S02_ID0214_FP_UDT.PLC,
COMMENT:en-US,,Mes_S02_ID0214_FP_UDT,Stopped due to  - Low Line Speed,,Mes_S02_ID0214_FP_UDT.TagComment,
COMMENT:en-US,,Mes_S02_ID0214_FP_UDT,,,Mes_S02_ID0214_FP_UDT.TagAddress,
COMMENT:en-US,,Mes_S02_ID0214_FP_UDT,+Mes=S02-ID0214,,Mes_S02_ID0214_FP_UDT.TagName,
TAG,,Mes_S02_ID0215_FP_UDT,UDT_IO_FP : Stopped due to  - Operator Command,UDT_IO_FP,,"(Class := Standard, Constant := false, ExternalAccess := Read/Write)"
COMMENT:en-US,,Mes_S02_ID0215_FP_UDT,,,Mes_S02_ID0215_FP_UDT.EU,
COMMENT:en-US,,Mes_S02_ID0215_FP_UDT,1,,Mes_S02_ID0215_FP_UDT.PLC,
